<meta-data>
nrMolecules = 5740
nrFoodSet   = 48
nrReactions = 6039

<molecules>
H2O; Water	C00001
2-Oxo acid; 2-Oxocarboxylate; 2-Oxocarboxylic acid; 2-Oxo carboxylate	C00161
Fatty acid	C00162
Propanoate; Propionate; Propanoic acid; Propionic acid	C00163
Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid	C00164
Diacylglycerol; Diglyceride	C00165
Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate	C00166
UDP-glucuronate; UDPglucuronate; UDP-D-glucuronate; UDP-alpha-D-glucuronate	C00167
Hydroxypyruvate; Hydroxypyruvic acid; 3-Hydroxypyruvate; 3-Hydroxypyruvic acid	C00168
Carbamoyl phosphate	C00169
5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA	C00170
Acyl-[acyl-carrier protein]	C00173
Cobalt ion; Cobalt(2+); Co2+; Co(II)	C00175
Flavin	C00176
Cyanide ion; Prussiate; CN-; Cyano; Cyanide	C00177
Thymine; 5-Methyluracil	C00178
Agmatine; (4-Aminobutyl) guanidine	C00179
Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid	C00180
D-Xylose; Wood sugar	C00181
L-Valine; 2-Amino-3-methylbutyric acid	C00183
Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one	C00184
Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose	C00185
(S)-Lactate; L-Lactate; L-Lactic acid	C00186
Cholesterol; Cholest-5-en-3beta-ol	C00187
L-Threonine; 2-Amino-3-hydroxybutyric acid	C00188
Ethanolamine; Aminoethanol; 2-Hydroxyethylamine	C00189
UDP-D-xylose; UDP-xylose; UDP-alpha-D-xylose	C00190
D-Glucuronate; Glucuronic acid; Glucuronate	C00191
Hydroxylamine; NH2OH	C00192
Aromatic aldehyde	C00193
Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide	C00194
N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide	C00195
2,3-Dihydroxybenzoate; 2,3-Dihydroxybenzoic acid	C00196
3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate	C00197
D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone	C00198
D-Ribulose 5-phosphate	C00199
Nucleoside triphosphate; NTP; Nucleoside 5'-triphosphate	C00201
Isoflurophate; Diisopropyl fluorophosphate; DFP	C00202
UDP-N-acetyl-D-galactosamine; UDP-N-acetyl-alpha-D-galactosamine	C00203
2-Dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-D-gluconate	C00204
hn; Light; Photon; hnu	C00205
dADP; 2'-Deoxyadenosine 5'-diphosphate	C00206
Acetone; Dimethyl ketone; 2-Propanone	C00207
Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose	C00208
Oxalate; Oxalic acid; Ethanedioic acid	C00209
Adenosine	C00212
Sarcosine; N-Methylglycine	C00213
Thymidine; Deoxythymidine	C00214
Nucleotide	C00215
D-Arabinose	C00216
D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid	C00217
Methylamine; Methanamine	C00218
Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid	C00219
beta-D-Glucose; beta-D-Glucopyranose	C00221
3-Oxopropanoate; Malonate semialdehyde	C00222
p-Coumaroyl-CoA; 4-Coumaroyl-CoA; 4-Hydroxycinnamoyl-CoA	C00223
Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate	C00224
Primary alcohol; 1-Alcohol	C00226
Acetyl phosphate	C00227
Acyl-carrier protein; ACP; [Acyl-carrier protein]; Holo-[acyl-carrier protein]	C00229
3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid	C00230
D-Xylulose 5-phosphate	C00231
Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate	C00232
4-Methyl-2-oxopentanoate; 2-Oxoisocaproate	C00233
10-Formyltetrahydrofolate; 10-Formyl-THF	C00234
Dimethylallyl diphosphate; 2-Isopentenyl diphosphate; Delta2-Isopentenyl diphosphate; Dimethylallyl pyrophosphate; DMAPP; Monoprenyl diphosphate; Prenyl diphosphate	C00235
3-Phospho-D-glyceroyl phosphate; 1,3-Bisphospho-D-glycerate; (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid; D-Glycerate 1,3-diphosphate	C00236
CO; Carbon monoxide	C00237
Potassium cation; K+; Potassium(1+); Potassium ion	C00238
dCMP; Deoxycytidylic acid; Deoxycytidine monophosphate; Deoxycytidylate; 2'-Deoxycytidine 5'-monophosphate	C00239
rRNA; Ribosomal RNA	C00240
Amide	C00241
Guanine; 2-Amino-6-hydroxypurine	C00242
Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar	C00243
Nitrate; Nitric acid	C00244
Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid	C00245
Butanoic acid; Butanoate; Butyrate; Butyric acid	C00246
L-Sorbose; L-xylo-Hexulose	C00247
Lipoamide; Thioctic acid amide	C00248
Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid	C00249
Pyridoxal	C00250
Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate	C00251
Isomaltose; Brachiose	C00252
Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid	C00253
Prephenate; Prephenic acid	C00254
Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2	C00255
(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid	C00256
D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid	C00257
D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid	C00258
L-Arabinose; L-Arabinopyranose	C00259
Benzaldehyde; Benzoic aldehyde	C00261
Hypoxanthine; Purine-6-ol	C00262
L-Homoserine; 2-Amino-4-hydroxybutyric acid	C00263
3-Oxoacyl-CoA	C00264
Dithiothreitol; 1,4-Dithiothreitol; threo-1,4-Dimercapto-2,3-butanediol; DL-threo-1,4-Dimercapto-2,3-butanediol	C00265
Glycolaldehyde; Hydroxyacetaldehyde	C00266
alpha-D-Glucose	C00267
Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin	C00268
CDP-diacylglycerol; CDP-1,2-diacylglycerol; 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate	C00269
N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac	C00270
Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone; L-erythro-Tetrahydrobiopterin	C00272
5-Dehydro-D-fructose	C00273
D-Mannose 6-phosphate	C00275
D-Erythrose 4-phosphate	C00279
Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione	C00280
Hydrogen; H2	C00282
Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide	C00283
dGTP; 2'-Deoxyguanosine 5'-triphosphate; Deoxyguanosine 5'-triphosphate; Deoxyguanosine triphosphate	C00286
HCO3-; Hydrogencarbonate; Bicarbonate; Hydrogen carbonate; Acid carbonate	C00288
Aniline; Phenylamine; Benzenamine; Arylamine	C00292
Inosine	C00294
Orotate; Orotic acid; Uracil-6-carboxylic acid	C00295
Quinate; Quinic acid; Kinic acid; Chinic acid; L-Quinic acid; L-Quinate; (-)-Quinic acid	C00296
Uridine	C00299
Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	C00300
ADP-ribose; ADP-D-ribose; Adenosine diphosphate ribose	C00301
Glutamate; Glutaminic acid; 2-Aminoglutaric acid	C00302
Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion	C00305
CDP-choline; Cytidine 5'-diphosphocholine; Citicoline	C00307
D-Ribulose; D-erythro-2-Pentulose; D-Arabinoketose; D-Arabinulose; D-Riboketose	C00309
D-Xylulose; D-threo-Pentulose; D-Lyxulose	C00310
Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid	C00311
L-Xylulose; L-threo-Pentulose; L-Lyxulose	C00312
Oxalyl-CoA	C00313
Pyridoxine; Pyridoxol	C00314
Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine	C00315
L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine	C00318
Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine	C00319
Thiosulfate; Hyposulfite	C00320
2-Oxoadipate; 2-Oxoadipic acid	C00322
Caffeoyl-CoA; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-CoA	C00323
GDP-L-fucose; GDP-beta-L-fucose	C00325
Glycoprotein	C00326
L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline	C00327
L-Kynurenine; 3-Anthraniloyl-L-alanine	C00328
D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose	C00329
Deoxyguanosine; 2'-Deoxyguanosine	C00330
Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate	C00331
Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA	C00332
D-Galacturonate; D-Galacturonic acid	C00333
4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA	C00334
(S)-Dihydroorotate; (S)-4,5-Dihydroorotate; L-Dihydroorotate; L-Dihydroorotic acid; Dihydro-L-orotic acid	C00337
Lipopolysaccharide; LPS	C00338
Long-chain alcohol	C00339
Reduced rubredoxin	C00340
Geranyl diphosphate	C00341
Thioredoxin; Reduced thioredoxin	C00342
Thioredoxin disulfide; Oxidized thioredoxin; Thioredoxin sulfide	C00343
Phosphatidylglycerol; 3-(3-sn-Phosphatidyl)glycerol; 3(3-Phosphatidyl-)glycerol; PtdGro	C00344
6-Phospho-D-gluconate	C00345
Ethanolamine phosphate; O-Phosphorylethanolamine; Phosphoethanolamine; O-Phosphoethanolamine	C00346
Long-chain carboxylate; Long-chain carboxylic acid	C00347
2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde	C00349
Phosphatidylethanolamine; (3-Phosphatidyl)ethanolamine; (3-Phosphatidyl)-ethanolamine; Cephalin; O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine; 1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine; L-1-Phosphatidylethanolamine	C00350
D-Glucosamine 6-phosphate; D-Glucosamine phosphate	C00352
Geranylgeranyl diphosphate; Geranylgeranyl pyrophosphate; all-trans-Geranylgeranyl diphosphate; all-trans-Geranylgeranyl pyrophosphate; (2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate	C00353
D-Fructose 1,6-bisphosphate	C00354
3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine	C00355
(S)-3-Hydroxy-3-methylglutaryl-CoA; Hydroxymethylglutaryl-CoA; Hydroxymethylglutaroyl coenzyme A; HMG-CoA; 3-Hydroxy-3-methylglutaryl-CoA	C00356
N-Acetyl-D-glucosamine 6-phosphate	C00357
dAMP; 2'-Deoxyadenosine 5'-phosphate; 2'-Deoxyadenosine 5'-monophosphate; Deoxyadenylic acid; Deoxyadenosine monophosphate	C00360
dGDP; 2'-Deoxyguanosine 5'-diphosphate	C00361
dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate	C00362
dTDP; Deoxythymidine 5'-diphosphate	C00363
dTMP; Thymidine 5'-phosphate; Deoxythymidine 5'-phosphate; Thymidylic acid; 5'-Thymidylic acid; Thymidine monophosphate; Deoxythymidylic acid; Thymidylate	C00364
dUMP; Deoxyuridylic acid; Deoxyuridine monophosphate; Deoxyuridine 5'-phosphate; 2'-Deoxyuridine 5'-phosphate	C00365
Urate; Uric acid	C00366
Starch; Glycogen	C00369
Sterol	C00370
Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol; trans-Zeatin	C00371
Dextran; 1,6-alpha-D-Glucan; (1,6-alpha-D-Glucosyl)n; (1,6-alpha-D-Glucosyl)n+1; (1,6-alpha-D-Glucosyl)m; (1,6-alpha-D-Glucosyl)m+1; Dextran 40; Dextran 70; Dextran 75	C00372
Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene	C00376
Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor	C00378
Xylitol	C00379
Cytosine	C00380
Dolichol	C00381
Malonate; Malonic acid; Propanedioic acid	C00383
Xanthine	C00385
Carnosine; Nalpha-(beta-alanyl)-L-histidine	C00386
Guanosine	C00387
Histamine; 1H-Imidazole-4-ethanamine; 2-(4-Imidazolyl)ethylamine	C00388
Quercetin; 3,3',4,5,7-Pentahydroxyflavone; 3,5,7,3',4'-Pentahydroxyflavone	C00389
Ubiquinol; QH2; CoQH2	C00390
Mannitol; D-Mannitol	C00392
GDP-glucose; GDP-D-glucose; GDP-alpha-D-glucose	C00394
Penicillin; Penam	C00395
Pyrimidine; Pyrimidine base	C00396
